# Nextprot proteins with GO term GO:0006355 » Regulation of transcription, DNA-templated, mapped in UniProt to Ensembl gene ids on June 3rd, 2015
From	To
Q14103	ENSG00000138668
O14979	ENSG00000152795
P61978	ENSG00000165119
P22626	ENSG00000122566
Q9BUJ2	ENSG00000105323
O60658	ENSG00000073417
P04629	ENSG00000198400
P82970	ENSG00000198157
Q9NP66	ENSG00000140382
P09429	ENSG00000189403
P26583	ENSG00000164104
O15347	ENSG00000029993
Q8WW32	ENSG00000176256
P52926	ENSG00000149948
P17096	ENSG00000137309
P04196	ENSG00000113905
P49773	ENSG00000169567
Q92830	ENSG00000108773
Q92831	ENSG00000114166
Q92993	ENSG00000172977
Q92794	ENSG00000083168
Q8WYB5	ENSG00000156650
Q8WYB5	ENSG00000281813
O95251	ENSG00000136504
Q9H7Z6	ENSG00000103510
Q09472	ENSG00000100393
O14929	ENSG00000128708
Q86X55	ENSG00000142453
Q09028	ENSG00000162521
Q16576	ENSG00000102054
Q9Y294	ENSG00000111875
Q9NVP2	ENSG00000105011
Q13547	ENSG00000116478
Q969S8	ENSG00000100429
Q96DB2	ENSG00000163517
Q92769	ENSG00000196591
O15379	ENSG00000171720
P56524	ENSG00000068024
Q9UQL6	ENSG00000108840
Q9UBN7	ENSG00000094631
Q8WUI4	ENSG00000061273
Q9BY41	ENSG00000147099
Q9UKV0	ENSG00000048052
Q9H0E3	ENSG00000136715
O00422	ENSG00000150459
Q8TEE9	ENSG00000205307
O75446	ENSG00000164105
Q9HAJ7	ENSG00000164576
P16401	ENSG00000184357
Q5VVJ2	ENSG00000162601
P0C0S5	ENSG00000164032
Q9BQA5	ENSG00000172273
Q9UPP1	ENSG00000172943
Q03164	ENSG00000118058
Q9UMN6	ENSG00000272333
Q8NEZ4	ENSG00000055609
O14686	ENSG00000167548
Q8IZD2	ENSG00000005483
Q9NR48	ENSG00000116539
Q9H9B1	ENSG00000181090
Q96KQ7	ENSG00000204371
Q96KQ7	ENSG00000206376
Q96KQ7	ENSG00000238134
Q96KQ7	ENSG00000236759
Q96KQ7	ENSG00000232045
Q96KQ7	ENSG00000227333
Q92800	ENSG00000108799
Q15910	ENSG00000106462
Q96L73	ENSG00000165671
Q8TEK3	ENSG00000104885
O96028	ENSG00000109685
Q9BZ95	ENSG00000147548
Q9NQV7	ENSG00000164256
O15047	ENSG00000099381
Q9UPS6	ENSG00000139718
Q9BYW2	ENSG00000181555
Q86TU7	ENSG00000183576
Q8WTS6	ENSG00000145391
Q15047	ENSG00000143379
Q96T68	ENSG00000136169
Q8NB12	ENSG00000115593
O43463	ENSG00000101945
Q9H5I1	ENSG00000152455
Q4FZB7	ENSG00000110066
Q86Y97	ENSG00000133247
O43719	ENSG00000102241
O60381	ENSG00000105856
Q8WY36	ENSG00000114439
Q9UGU5	ENSG00000100281
Q8IX15	ENSG00000215271
Q6NT76	ENSG00000147421
P49640	ENSG00000106038
Q03828	ENSG00000174279
Q9UBX0	ENSG00000163666
O95076	ENSG00000156150
Q9H161	ENSG00000052850
Q96QS3	ENSG00000004848
Q9HBU1	ENSG00000131668
Q9UMQ3	ENSG00000043039
P47902	ENSG00000113722
Q99626	ENSG00000165556
O14627	ENSG00000131264
P39880	ENSG00000257923
O14529	ENSG00000111249
A6NMT0	ENSG00000109851
Q6ZNG2	ENSG00000185610
P56177	ENSG00000144355
Q07687	ENSG00000115844
O60479	ENSG00000064195
Q92988	ENSG00000108813
P56178	ENSG00000105880
P56179	ENSG00000006377
Q04741	ENSG00000135638
Q04743	ENSG00000170370
Q05925	ENSG00000163064
P19622	ENSG00000164778
Q8N693	ENSG00000123576
Q14549	ENSG00000164900
P52951	ENSG00000168505
P56915	ENSG00000133937
O15499	ENSG00000063515
Q9NP08	ENSG00000215612
A2RU54	ENSG00000188816
A6NHT5	ENSG00000188620
P49639	ENSG00000105991
P31260	ENSG00000253293
P31270	ENSG00000005073
P31271	ENSG00000106031
O43364	ENSG00000105996
O43365	ENSG00000105997
Q00056	ENSG00000197576
P20719	ENSG00000106004
P31267	ENSG00000106006
P31268	ENSG00000122592
P31269	ENSG00000078399
P14653	ENSG00000120094
Q92826	ENSG00000159184
P14652	ENSG00000173917
P14651	ENSG00000120093
P17483	ENSG00000182742
P09067	ENSG00000120075
P17509	ENSG00000108511
P09629	ENSG00000260027
P17481	ENSG00000120068
P17482	ENSG00000170689
Q9NYD6	ENSG00000180818
O43248	ENSG00000123388
P31275	ENSG00000123407
P31276	ENSG00000123364
P09017	ENSG00000198353
Q00444	ENSG00000172789
P09630	ENSG00000197757
P31273	ENSG00000037965
P31274	ENSG00000180806
Q9GZZ0	ENSG00000128645
P28358	ENSG00000128710
P31277	ENSG00000128713
P35452	ENSG00000170178
P35453	ENSG00000128714
P31249	ENSG00000128652
P09016	ENSG00000170166
P13378	ENSG00000175879
P28356	ENSG00000128709
O00470	ENSG00000143995
O14770	ENSG00000134138
Q99687	ENSG00000105419
Q9H2W2	ENSG00000185155
Q8IYA7	ENSG00000150051
P50221	ENSG00000005102
P50222	ENSG00000106511
P28360	ENSG00000163132
P35548	ENSG00000120149
Q9H9S0	ENSG00000111704
P43699	ENSG00000136352
O95096	ENSG00000125820
Q8TAU0	ENSG00000119919
Q9H2Z4	ENSG00000125816
P52952	ENSG00000183072
A6NCS4	ENSG00000180053
O15522	ENSG00000136327
Q99801	ENSG00000167034
P78367	ENSG00000109705
P78426	ENSG00000163623
Q9C056	ENSG00000148826
A6NJ46	ENSG00000165066
O60393	ENSG00000106410
A8MTQ0	ENSG00000214513
Q5XKR4	ENSG00000171540
P32242	ENSG00000115507
P32243	ENSG00000165588
P55347	ENSG00000160199
Q96KN3	ENSG00000165495
O75360	ENSG00000175325
Q9HB31	ENSG00000274529
Q15475	ENSG00000126778
Q9NPC8	ENSG00000170577
O95343	ENSG00000138083
Q9UIU6	ENSG00000100625
Q8N196	ENSG00000177045
O95475	ENSG00000184302
Q15583	ENSG00000177426
Q9GZN2	ENSG00000118707
Q8IUE1	ENSG00000153779
Q8IUE0	ENSG00000176679
A6NJT0	ENSG00000164853
O95231	ENSG00000151650
Q86Z02	ENSG00000163349
Q9H2X6	ENSG00000064393
Q9H422	ENSG00000110422
Q9BPY8	ENSG00000171476
P51610	ENSG00000172534
Q9Y5Z7	ENSG00000111727
O00291	ENSG00000127946
O00219	ENSG00000103044
Q12891	ENSG00000068001
Q14526	ENSG00000177374
Q96JB3	ENSG00000169635
Q16665	ENSG00000100644
Q9NWT6	ENSG00000166135
Q9Y2N7	ENSG00000124440
P78318	ENSG00000089289
Q8N6C5	ENSG00000147255
O60684	ENSG00000025800
Q14623	ENSG00000163501
P08476	ENSG00000122641
Q9UK53	ENSG00000153487
Q9H160	ENSG00000168556
Q9NXR8	ENSG00000071243
Q9UNL4	ENSG00000111653
Q8WYH8	ENSG00000168395
O15111	ENSG00000213341
O14920	ENSG00000104365
Q9Y2U8	ENSG00000174106
Q9C086	ENSG00000115274
Q6PI98	ENSG00000153391
Q53TQ3	ENSG00000114933
Q8NBZ0	ENSG00000169592
Q9BT40	ENSG00000132376
P01308	ENSG00000254647
P61371	ENSG00000016082
Q96A47	ENSG00000159556
O15503	ENSG00000186480
Q9Y5U4	ENSG00000125629
P08069	ENSG00000140443
P05019	ENSG00000017427
P01344	ENSG00000167244
Q01101	ENSG00000173404
Q96T92	ENSG00000168348
P06213	ENSG00000171105
P26006	ENSG00000005884
P23229	ENSG00000091409
P53708	ENSG00000077943
O14713	ENSG00000119185
P05107	ENSG00000160255
Q13418	ENSG00000166333
P05362	ENSG00000090339
P01563	ENSG00000188379
P48551	ENSG00000159110
P40305	ENSG00000165949
P01574	ENSG00000171855
P01579	ENSG00000111537
P19525	ENSG00000055332
O14862	ENSG00000163568
Q9P0W0	ENSG00000147896
Q8IU54	ENSG00000182393
P10914	ENSG00000125347
P14316	ENSG00000168310
Q8IU81	ENSG00000170604
Q7Z5L9	ENSG00000168264
Q9H1B7	ENSG00000119669
Q14653	ENSG00000126456
Q15306	ENSG00000137265
Q13568	ENSG00000128604
O14896	ENSG00000117595
Q92985	ENSG00000185507
Q92985	ENSG00000276561
Q02556	ENSG00000140968
Q00978	ENSG00000213928
P22301	ENSG00000136634
P20809	ENSG00000095752
Q16552	ENSG00000112115
Q96PD4	ENSG00000112116
P01583	ENSG00000115008
P01584	ENSG00000125538
P51617	ENSG00000184216
Q5VVH5	ENSG00000146243
Q9Y616	ENSG00000090376
O43187	ENSG00000134070
P60568	ENSG00000109471
Q9NPF7	ENSG00000110944
Q9H293	ENSG00000166090
Q9NPH9	ENSG00000111536
Q8NI17	ENSG00000164509
O95760	ENSG00000137033
P05112	ENSG00000113520
P05113	ENSG00000113525
P05231	ENSG00000136244
P08887	ENSG00000160712
Q12905	ENSG00000143621
Q12906	ENSG00000129351
Q2M1V0	ENSG00000175329
Q5JVS0	ENSG00000130956
Q9NWB7	ENSG00000114446
Q96LB3	ENSG00000096872
P78414	ENSG00000170549
Q9BZI1	ENSG00000170561
P78415	ENSG00000177508
P78413	ENSG00000113430
P78411	ENSG00000176842
P78412	ENSG00000159387
Q9UKU7	ENSG00000151498
Q8N157	ENSG00000135541
Q8N9B5	ENSG00000152409
P14923	ENSG00000173801
Q8WYK2	ENSG00000140044
Q86VZ6	ENSG00000153814
Q14145	ENSG00000079999
Q9H511	ENSG00000124743
Q14894	ENSG00000103316
Q07666	ENSG00000121774
Q5VWX1	ENSG00000112232
O75525	ENSG00000131773
Q14678	ENSG00000107104
Q63ZY3	ENSG00000197256
Q6ZNG9	ENSG00000184619
C9JBD0	ENSG00000240747
Q5JUW0	ENSG00000147121
Q9BV97	ENSG00000169955
Q13351	ENSG00000105610
Q13118	ENSG00000155090
O14901	ENSG00000172059
Q9Y4X4	ENSG00000118922
Q9Y2Y9	ENSG00000169926
Q9Y2Y9	ENSG00000275746
Q9UIH9	ENSG00000163884
Q9BXK1	ENSG00000129911
Q5JT82	ENSG00000171872
Q9Y5W3	ENSG00000127528
P57682	ENSG00000109787
O43474	ENSG00000136826
Q13887	ENSG00000102554
Q99612	ENSG00000067082
O75840	ENSG00000118263
O95600	ENSG00000102349
Q13886	ENSG00000119138
P10072	ENSG00000181666
P02788	ENSG00000012223
Q04760	ENSG00000124767
P42166	ENSG00000120802
Q9NS86	ENSG00000132434
O75610	ENSG00000243709
P41159	ENSG00000174697
Q9Y468	ENSG00000185513
Q969R5	ENSG00000100395
Q96JM7	ENSG00000198945
Q8NA19	ENSG00000154655
P42704	ENSG00000138095
Q9BXB1	ENSG00000205213
Q32MZ4	ENSG00000124831
A8MZ59	ENSG00000213921
A8MZ59	ENSG00000280774
Q8N653	ENSG00000099949
Q9Y250	ENSG00000061337
P15018	ENSG00000128342
Q8NHL6	ENSG00000104972
Q8NHL6	ENSG00000277807
Q8NHL6	ENSG00000274669
O60711	ENSG00000110031
Q96JN0	ENSG00000196233
Q8N3X6	ENSG00000178177
Q5T3J3	ENSG00000121931
Q9NZU5	ENSG00000071282
P48059	ENSG00000169756
Q86U70	ENSG00000198728
O43679	ENSG00000169744
Q9UGP4	ENSG00000144791
Q96IF1	ENSG00000129474
Q8TAP4	ENSG00000048540
P61968	ENSG00000143013
P48742	ENSG00000273706
P50458	ENSG00000106689
Q9UBR4	ENSG00000107187
Q969G2	ENSG00000121454
Q9H2C1	ENSG00000089116
Q9UPM6	ENSG00000106852
Q68G74	ENSG00000162624
Q9NQ69	ENSG00000143355
Q8TE12	ENSG00000162761
O60663	ENSG00000136944
O14495	ENSG00000162407
Q99732	ENSG00000189067
Q9Y2F5	ENSG00000164151
Q659A1	ENSG00000128915
O75197	ENSG00000162337
O75581	ENSG00000070018
O75581	ENSG00000281324
Q14114	ENSG00000157193
P51884	ENSG00000139329
Q9UJU2	ENSG00000138795
Q9NRZ9	ENSG00000119969
P47992	ENSG00000143184
Q9Y2K7	ENSG00000173120
Q8NHM5	ENSG00000089094
Q9Y4C1	ENSG00000115548
Q7LBC6	ENSG00000120733
O75164	ENSG00000066135
O94953	ENSG00000127663
Q9H3R0	ENSG00000107077
Q9H3R0	ENSG00000274527
Q6B0I6	ENSG00000186280
B2RXH2	ENSG00000235268
P29375	ENSG00000073614
Q9UGL1	ENSG00000117139
P41229	ENSG00000126012
O15054	ENSG00000132510
Q6ZMT4	ENSG00000006459
Q8N371	ENSG00000155666
O43593	ENSG00000168453
O75151	ENSG00000197724
O60341	ENSG00000004487
Q8NB78	ENSG00000165097
Q9Y4K0	ENSG00000134013
P58215	ENSG00000115318
P07199	ENSG00000125817
P04156	ENSG00000171867
Q8N5Y2	ENSG00000005302
Q9ULC4	ENSG00000232119
Q13495	ENSG00000013619
Q92585	ENSG00000161021
Q8IZL2	ENSG00000184384
Q96JK9	ENSG00000196782
P10721	ENSG00000157404
P50281	ENSG00000157227
Q99583	ENSG00000070444
Q05195	ENSG00000059728
Q9BW11	ENSG00000213347
Q14582	ENSG00000123933
Q8IWI9	ENSG00000174197
P50539	ENSG00000119950
Q9UH92	ENSG00000108788
Q05BQ5	ENSG00000011258
Q03112	ENSG00000085276
Q15648	ENSG00000125686
Q9BTT4	ENSG00000133398
Q9P086	ENSG00000161920
Q93074	ENSG00000184634
Q86YW9	ENSG00000144893
Q9UHV7	ENSG00000108510
Q71F56	ENSG00000123066
O60244	ENSG00000180182
Q96RN5	ENSG00000099917
Q9Y2X0	ENSG00000175221
Q9NVC6	ENSG00000042429
Q9BUE0	ENSG00000130772
A0JLT2	ENSG00000156603
Q9H944	ENSG00000124641
Q13503	ENSG00000152944
Q15528	ENSG00000148297
Q15528	ENSG00000281022
Q9ULK4	ENSG00000112282
O75448	ENSG00000008838
Q71SY5	ENSG00000104973
O95402	ENSG00000105085
Q6P2C8	ENSG00000160563
Q9H204	ENSG00000118579
Q9NX70	ENSG00000063322
Q96HR3	ENSG00000164758
Q9Y3C7	ENSG00000108590
Q9NPJ6	ENSG00000136146
O75586	ENSG00000133997
O43513	ENSG00000155868
Q96G25	ENSG00000159479
Q9NWA0	ENSG00000141026
Q6ZN01	ENSG00000176909
Q01726	ENSG00000258839
P78395	ENSG00000185686
P78395	ENSG00000275013
P43355	ENSG00000198681
P43356	ENSG00000183305
P43356	ENSG00000268606
Q9Y5V3	ENSG00000179222
O43462	ENSG00000012174
O00255	ENSG00000133895
Q8N108	ENSG00000198160
Q8N344	ENSG00000105556
Q7Z3K6	ENSG00000155545
Q9BRJ9	ENSG00000166823
Q0VG99	ENSG00000188095
A6NI15	ENSG00000151379
P41594	ENSG00000168959
P25713	ENSG00000087250
Q14872	ENSG00000188786
Q9Y483	ENSG00000143033
Q6ZN28	ENSG00000183742
Q13330	ENSG00000182979
O94776	ENSG00000149480
Q9BTC8	ENSG00000057935
Q9Y3D2	ENSG00000148450
Q9UIS9	ENSG00000141644
Q9UBB5	ENSG00000134046
O95983	ENSG00000071655
Q8WWY6	ENSG00000170948
P51608	ENSG00000169057
Q8NFU7	ENSG00000138336
Q6N021	ENSG00000168769
O43151	ENSG00000187605
Q9BQA1	ENSG00000116455
P22670	ENSG00000132005
P33076	ENSG00000179583
Q9NX63	ENSG00000106554
O75030	ENSG00000187098
Q96EZ8	ENSG00000187778
Q9UPY8	ENSG00000084764
P21741	ENSG00000110492
P08235	ENSG00000151623
Q7Z434	ENSG00000088888
P25874	ENSG00000109424
P28482	ENSG00000100030
P53778	ENSG00000188130
O15264	ENSG00000156711
Q16539	ENSG00000112062
Q8TD08	ENSG00000181085
Q8TD08	ENSG00000274205
P27361	ENSG00000102882
Q13164	ENSG00000166484
P45984	ENSG00000050748
Q02779	ENSG00000130758
O43283	ENSG00000073803
Q9Y2U5	ENSG00000169967
P80192	ENSG00000006432
Q9UI95	ENSG00000116670
Q969V6	ENSG00000196588
Q9ULH7	ENSG00000186260
Q9HAP2	ENSG00000175727
Q9HAP2	ENSG00000281178
Q96T76	ENSG00000155229
Q9UBU8	ENSG00000185787
Q15014	ENSG00000123562
Q15797	ENSG00000170365
Q15796	ENSG00000175387
P84022	ENSG00000166949
Q13485	ENSG00000141646
Q99717	ENSG00000113658
O43541	ENSG00000137834
O15105	ENSG00000101665
O15198	ENSG00000120693
Q9UJG1	ENSG00000101928
P50219	ENSG00000130675
Q99549	ENSG00000196199
Q9NV56	ENSG00000101189
Q96T58	ENSG00000065526
Q9H7C9	ENSG00000087884
P15941	ENSG00000185499
Q9UDY8	ENSG00000172175
P03971	ENSG00000104899
D6RGH6	ENSG00000234602
Q7Z7M0	ENSG00000105429
Q5BKX8	ENSG00000170681
O15146	ENSG00000030304
Q5VWP3	ENSG00000146147
O60682	ENSG00000178860
Q9BQG0	ENSG00000132382
P10243	ENSG00000185697
P10244	ENSG00000101057
Q86VE0	ENSG00000176182
P56270	ENSG00000103495
P01106	ENSG00000136997
Q9Y2G1	ENSG00000124920
Q96LU7	ENSG00000166268
Q01538	ENSG00000196132
Q01538	ENSG00000276876
Q9UL68	ENSG00000186487
P41218	ENSG00000163563
Q969H8	ENSG00000074842
P28698	ENSG00000099326
P15172	ENSG00000129152
Q8IZQ8	ENSG00000141052
Q02078	ENSG00000068305
Q02080	ENSG00000213999
Q06413	ENSG00000081189
Q14814	ENSG00000116604
Q99750	ENSG00000112559
Q9P1T7	ENSG00000135272
P13349	ENSG00000111049
P23409	ENSG00000111046
P15173	ENSG00000122180
Q9NPC7	ENSG00000085274
P13533	ENSG00000197616
P58546	ENSG00000105887
Q8WUY8	ENSG00000090971
P59046	ENSG00000142405
Q96P20	ENSG00000162711
Q96EB6	ENSG00000096717
Q8IXJ6	ENSG00000068903
Q9Y6E7	ENSG00000089163
Q9NRC8	ENSG00000187531
Q9NXA8	ENSG00000124523
Q9P0J0	ENSG00000186010
Q9BXJ9	ENSG00000164134
Q6N069	ENSG00000172766
Q13765	ENSG00000196531
E9PAV3	ENSG00000196531
P49279	ENSG00000018280
Q99608	ENSG00000182636
Q92802	ENSG00000244754
Q9H0M0	ENSG00000123124
O00308	ENSG00000198373
Q15843	ENSG00000129559
Q9H3P2	ENSG00000185049
Q8WX92	ENSG00000188986
Q8IXH7	ENSG00000101158
P18615	ENSG00000204356
P18615	ENSG00000206268
P18615	ENSG00000206357
P18615	ENSG00000231044
P18615	ENSG00000229363
P18615	ENSG00000233801
Q92859	ENSG00000067141
Q6UXI9	ENSG00000168743
P54845	ENSG00000129535
O00401	ENSG00000106299
P41271	ENSG00000158747
Q13562	ENSG00000162992
Q15784	ENSG00000171532
Q9HD90	ENSG00000123307
Q96NK8	ENSG00000164600
P46531	ENSG00000148400
Q04721	ENSG00000134250
Q9UM47	ENSG00000074181
Q99466	ENSG00000204301
Q99466	ENSG00000238196
Q99466	ENSG00000223355
Q99466	ENSG00000234876
Q92886	ENSG00000181965
Q9H2A3	ENSG00000178403
Q9Y4Z2	ENSG00000122859
Q99742	ENSG00000130751
Q99743	ENSG00000170485
Q8IXF0	ENSG00000151322
Q8IUM7	ENSG00000174576
P20783	ENSG00000185652
Q96GC6	ENSG00000171606
P08246	ENSG00000197561
P08246	ENSG00000277571
Q8NET5	ENSG00000235568
Q8NCF5	ENSG00000176953
Q8N5F7	ENSG00000101882
Q9Y6K9	ENSG00000269335
P25963	ENSG00000100906
Q8NI38	ENSG00000167604
Q9UBC1	ENSG00000204498
Q9UBC1	ENSG00000206440
Q9UBC1	ENSG00000234530
Q9UBC1	ENSG00000236346
Q9UBC1	ENSG00000235125
Q9UBC1	ENSG00000236196
Q9UBC1	ENSG00000227565
Q9BYH8	ENSG00000144802
O15226	ENSG00000186416
Q6ZNB6	ENSG00000170448
Q13506	ENSG00000138386
Q15742	ENSG00000166886
O15527	ENSG00000114026
P43490	ENSG00000105835
Q9GZT8	ENSG00000196290
Q6KC79	ENSG00000164190
P29475	ENSG00000089250
Q15270	ENSG00000235608
Q9UD57	ENSG00000229544
Q9NPP4	ENSG00000091106
Q8TBK2	ENSG00000103037
Q9NQR1	ENSG00000183955
Q9NRG4	ENSG00000143499
P04198	ENSG00000134323
Q9UK39	ENSG00000151014
Q96S42	ENSG00000156574
Q13253	ENSG00000183691
P05114	ENSG00000205581
Q15233	ENSG00000147140
Q00604	ENSG00000124479
Q8IVI9	ENSG00000163072
Q7Z6K4	ENSG00000198435
Q16288	ENSG00000140538
Q96KG9	ENSG00000142186
P23497	ENSG00000067066
Q13342	ENSG00000079263
Q9H930	ENSG00000185404
Q12857	ENSG00000162599
O00712	ENSG00000147862
P08651	ENSG00000141905
Q14938	ENSG00000008441
Q14494	ENSG00000082641
Q16236	ENSG00000116044
Q9Y4A8	ENSG00000050344
Q16649	ENSG00000165030
Q00653	ENSG00000077150
P19838	ENSG00000109320
O94916	ENSG00000102908
O95644	ENSG00000131196
Q13469	ENSG00000101096
Q12968	ENSG00000072736
Q14934	ENSG00000100968
Q6P4R8	ENSG00000170322
Q9UHK0	ENSG00000083635
Q12972	ENSG00000117751
Q13901	ENSG00000197223
P37198	ENSG00000213024
O60356	ENSG00000176046
Q96F24	ENSG00000148572
Q15788	ENSG00000084676
Q15596	ENSG00000140396
Q9Y6Q9	ENSG00000124151
Q13772	ENSG00000266412
Q9HCD5	ENSG00000124160
Q14686	ENSG00000198646
Q8NI08	ENSG00000111912
O75376	ENSG00000141027
Q9Y618	ENSG00000196498
P48552	ENSG00000180530
Q9BQI9	ENSG00000053702
P35398	ENSG00000069667
Q92753	ENSG00000198963
P51449	ENSG00000143365
P51843	ENSG00000169297
Q15466	ENSG00000131910
P20393	ENSG00000126368
Q14995	ENSG00000174738
O75469	ENSG00000144852
Q14994	ENSG00000143257
P13056	ENSG00000120798
P49116	ENSG00000177463
Q9Y466	ENSG00000112333
P10588	ENSG00000160113
P22736	ENSG00000123358
P43354	ENSG00000153234
Q92570	ENSG00000119508
O00482	ENSG00000116833
Q15406	ENSG00000148200
Q16656	ENSG00000106459
P23511	ENSG00000001167
P25208	ENSG00000120837
Q13952	ENSG00000066136
P67809	ENSG00000065978
Q9Y3T9	ENSG00000188976
Q9H8H0	ENSG00000130935
P17480	ENSG00000108312
P19338	ENSG00000115053
Q01085	ENSG00000151923
P06748	ENSG00000181163
P12270	ENSG00000047410
P22392	ENSG00000011052
Q12830	ENSG00000171634
Q9Y239	ENSG00000106100
Q9HC29	ENSG00000167207
Q96RE7	ENSG00000160877
Q96BF6	ENSG00000148411
Q96RA2	ENSG00000188000
Q8TAK6	ENSG00000184221
Q13516	ENSG00000205927
Q7RTU3	ENSG00000177468
P13725	ENSG00000099985
O95948	ENSG00000119547
O60422	ENSG00000205922
Q13416	ENSG00000115942
Q6GQQ9	ENSG00000264522
Q9BUP3	ENSG00000109854
Q13133	ENSG00000025434
P55055	ENSG00000131408
P47900	ENSG00000169860
Q9HB75	ENSG00000177595
Q96ST3	ENSG00000169375
O75182	ENSG00000127511
P15863	ENSG00000125813
Q02962	ENSG00000075891
P23760	ENSG00000135903
O43316	ENSG00000106331
Q02548	ENSG00000196092
P26367	ENSG00000007372
P23759	ENSG00000009709
Q06710	ENSG00000125618
P55771	ENSG00000198807
P54821	ENSG00000116132
Q99811	ENSG00000167157
O14813	ENSG00000165462
Q99453	ENSG00000109132
P52945	ENSG00000139515
Q7RTS3	ENSG00000168267
Q6P1J9	ENSG00000134371
Q8WXF1	ENSG00000121390
P01270	ENSG00000152266
P12272	ENSG00000087494
Q9GZU2	ENSG00000198300
Q9Y5B6	ENSG00000159086
Q9Y5B6	ENSG00000263141
Q6ZW49	ENSG00000157212
O75475	ENSG00000164985
Q5JVF3	ENSG00000126226
O00151	ENSG00000107438
Q08752	ENSG00000171497
Q9UNP9	ENSG00000084072
Q14318	ENSG00000105701
Q8WUA2	ENSG00000131013
P55201	ENSG00000156983
O15534	ENSG00000179094
O15055	ENSG00000132326
P56645	ENSG00000049246
O14936	ENSG00000147044
P30044	ENSG00000126432
O75381	ENSG00000142655
P28328	ENSG00000164751
Q07869	ENSG00000186951
Q03181	ENSG00000112033
P37231	ENSG00000132170
Q9UBK2	ENSG00000109819
Q86YN6	ENSG00000155846
Q5VV67	ENSG00000148840
Q5SV97	ENSG00000187642
Q7RTV0	ENSG00000100410
O43189	ENSG00000112511
O43189	ENSG00000225553
Q8WUB8	ENSG00000130024
Q9UIL8	ENSG00000136147
Q96QT6	ENSG00000109118
O94880	ENSG00000106443
Q5T6S3	ENSG00000119403
Q9BVI0	ENSG00000025293
Q96BD5	ENSG00000135365
Q8IWS0	ENSG00000156531
Q8WWQ0	ENSG00000146247
Q14693	ENSG00000134324
Q92539	ENSG00000101577
Q9BQK8	ENSG00000132793
P60484	ENSG00000171862
P27986	ENSG00000145675
O00459	ENSG00000105647
O00459	ENSG00000268173
Q13492	ENSG00000073921
P04054	ENSG00000170890
O15162	ENSG00000188313
O43520	ENSG00000081923
Q9Y5X4	ENSG00000278570
Q96JS3	ENSG00000137338
Q9H307	ENSG00000100941
O00625	ENSG00000087842
P18509	ENSG00000141433
P78337	ENSG00000069011
Q99697	ENSG00000164093
O75364	ENSG00000107859
P28069	ENSG00000064835
Q9NZF1	ENSG00000145287
P23634	ENSG00000058668
P01127	ENSG00000100311
P02776	ENSG00000163737
P16671	ENSG00000135218
Q9H7M9	ENSG00000107738
Q9P215	ENSG00000143157
P09874	ENSG00000143799
Q53GL7	ENSG00000178685
Q460N5	ENSG00000173193
Q460N3	ENSG00000173200
Q6P1K2	ENSG00000160783
P35226	ENSG00000168283
Q9BSM1	ENSG00000115289
P35227	ENSG00000278644
P35227	ENSG00000277258
Q3KNV8	ENSG00000185619
Q86SE9	ENSG00000180628
Q9BYE7	ENSG00000156374
O75530	ENSG00000074266
Q96GD3	ENSG00000010803
Q15022	ENSG00000178691
P98161	ENSG00000008710
Q13563	ENSG00000118762
O60828	ENSG00000102103
Q6NZI2	ENSG00000177469
Q9UHX1	ENSG00000179950
Q9UHX1	ENSG00000274081
Q16633	ENSG00000110777
P14859	ENSG00000143190
P09086	ENSG00000028277
Q9UKI9	ENSG00000137709
Q03052	ENSG00000185668
P20265	ENSG00000184486
P20264	ENSG00000198914
P49335	ENSG00000196767
Q01851	ENSG00000152192
Q12837	ENSG00000151615
Q15319	ENSG00000091010
Q01860	ENSG00000204531
Q01860	ENSG00000206454
Q01860	ENSG00000229094
Q01860	ENSG00000235068
Q01860	ENSG00000237582
Q01860	ENSG00000233911
Q01860	ENSG00000230336
Q8N7G0	ENSG00000248483
Q14863	ENSG00000184271
P78424	ENSG00000106536
Q9HBE1	ENSG00000100105
O95521	ENSG00000116721
O60809	ENSG00000187545
O95522	ENSG00000116726
Q5VTA0	ENSG00000204479
Q5SWL8	ENSG00000204480
O60811	ENSG00000120952
Q5VT98	ENSG00000204478
O60810	ENSG00000243073
Q5VXH4	ENSG00000232423
Q5VXH5	ENSG00000204510
Q5VWM4	ENSG00000182330
Q5VWM4	ENSG00000278021
Q5VWM5	ENSG00000204501
O75626	ENSG00000057657
Q9NQV6	ENSG00000170325
Q9H4Q4	ENSG00000130711
Q9H4Q3	ENSG00000112238
Q9GZV8	ENSG00000147596
P57071	ENSG00000141956
Q9HAZ2	ENSG00000142611
Q13029	ENSG00000116731
Q9UKN5	ENSG00000110851
Q9NQX1	ENSG00000138738
Q9NQV8	ENSG00000152784
P40424	ENSG00000185630
P40425	ENSG00000204304
P40425	ENSG00000206315
P40425	ENSG00000236353
P40425	ENSG00000232005
P40425	ENSG00000224952
P40425	ENSG00000225987
P40425	ENSG00000237344
P40426	ENSG00000167081
Q9BYU1	ENSG00000105717
Q96AQ6	ENSG00000163346
O60925	ENSG00000113068
Q99471	ENSG00000123349
P02545	ENSG00000160789
O94906	ENSG00000101161
P49768	ENSG00000080815
Q96MT3	ENSG00000139174
Q96IZ0	ENSG00000177425
O43709	ENSG00000071462
Q92841	ENSG00000100201
